currency,name_raw,count,both_valid,actual_distinct,forecast_distinct,cadence,median_gap_days,date_min,date_max,real_signal,passes_threshold,bucket,reason
GBP,MPC Member Mann Speaks,52,52,1,1,monthly,23.0,2023-01-07,2026-07-02,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Cook Speaks,49,49,1,1,monthly,17.5,2023-01-06,2026-05-27,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,BRC Shop Price Index y/y,47,47,33,13,monthly,28.0,2023-01-02,2026-06-29,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CAD,BOC Gov Macklem Speaks,45,45,1,1,monthly,26.0,2023-01-10,2026-07-01,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,Challenger Job Cuts y/y,45,45,42,1,monthly,28.0,2023-01-04,2026-07-01,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Kashkari Speaks,45,45,1,1,monthly,15.0,2023-03-01,2026-06-26,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Logan Speaks,45,45,1,1,monthly,17.0,2023-01-18,2026-06-03,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CHF,UBS Economic Expectations,44,44,41,1,monthly,28.0,2023-01-25,2026-06-24,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,Rightmove HPI m/m,44,44,26,1,monthly,28.0,2023-01-15,2026-06-14,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,Visitor Arrivals m/m,44,44,35,1,monthly,29.0,2023-01-18,2026-06-11,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,Core PPI m/m,44,44,12,6,monthly,29.0,2023-01-12,2026-06-11,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,Building Consents m/m,43,43,40,1,monthly,29.0,2023-01-10,2026-07-01,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,Commodity Prices y/y,43,43,41,1,monthly,30.0,2023-01-02,2026-07-01,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,ANZ Business Confidence,43,43,38,1,monthly,30.0,2023-01-27,2026-06-30,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,MI Leading Index m/m,43,43,7,1,monthly,28.0,2023-01-23,2026-06-17,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,NAB Business Confidence,43,43,15,1,monthly,28.0,2023-01-23,2026-06-09,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CHF,Foreign Currency Reserves,43,43,29,1,monthly,30.0,2023-01-09,2026-06-05,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,Credit Card Spending y/y,42,42,33,1,monthly,30.0,2023-01-24,2026-06-22,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,MI Inflation Expectations,42,42,20,1,monthly,28.0,2023-01-18,2026-06-11,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,Revised UoM Inflation Expectations,41,41,24,3,monthly,28.0,2023-01-27,2026-06-26,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,FPI m/m,41,41,25,1,monthly,30.0,2023-01-17,2026-06-15,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,ANZ Commodity Prices m/m,41,41,33,1,monthly,29.5,2023-01-10,2026-06-04,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,MI Inflation Gauge m/m,41,41,13,1,monthly,28.0,2023-01-15,2026-06-01,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,ANZ Job Advertisements m/m,38,38,25,1,monthly,28.0,2023-01-15,2026-06-01,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Jefferson Speaks,38,38,1,1,monthly,19.0,2023-02-24,2026-05-28,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
JPY,BOJ Press Conference,37,37,1,1,quarterly,47.0,2023-01-18,2026-06-16,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Musalem Speaks,37,37,1,1,monthly,19.0,2024-07-11,2026-05-28,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,Fed Chair Powell Speaks,37,37,1,1,monthly,28.0,2023-01-10,2026-03-30,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,MPC Member Breeden Speaks,36,36,1,1,monthly,17.0,2023-11-13,2026-06-30,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,MPC Member Greene Speaks,36,36,1,1,monthly,16.0,2023-11-17,2026-06-02,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,NIESR GDP Estimate,34,34,9,1,monthly,28.0,2023-01-12,2025-04-10,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,RBA Gov Bullock Speaks,33,33,1,1,monthly,24.0,2023-02-23,2026-06-28,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Harker Speaks,33,33,1,1,monthly,11.0,2023-01-12,2025-06-06,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
JPY,BOJ Gov Ueda Speaks,32,32,1,1,monthly,33.5,2023-02-24,2026-06-03,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,ADP Weekly Employment Change,30,30,23,1,weekly,7.0,2025-12-08,2026-06-23,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,Beige Book,30,30,1,1,monthly,42.0,2023-01-17,2026-06-03,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Meeting Minutes,30,30,1,1,monthly,43.0,2023-01-03,2026-05-20,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Press Conference,29,29,1,1,monthly,42.0,2023-01-31,2026-06-17,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CAD,BOC Press Conference,29,29,1,1,monthly,42.0,2023-01-24,2026-06-10,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Hammack Speaks,29,29,1,1,monthly,20.0,2024-10-02,2026-06-02,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
JPY,BOJ Summary of Opinions,28,28,1,1,quarterly,46.0,2023-01-25,2026-06-23,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CAD,BOC Summary of Deliberations,27,27,1,1,quarterly,48.0,2023-02-08,2026-06-24,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Miran Speaks,26,26,1,1,weekly,6.5,2025-09-25,2026-04-16,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Kugler Speaks,26,26,1,1,monthly,19.0,2024-02-07,2025-07-17,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CHF,SNB Chairman Jordan Speaks,26,26,1,1,monthly,11.0,2023-01-18,2024-09-12,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,MPC Member Dhingra Speaks,24,24,1,1,monthly,35.0,2023-03-08,2026-06-24,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,Daylight Saving Time Shift,24,24,1,1,monthly,16.5,2023-03-12,2025-11-02,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,NAB Quarterly Business Confidence,23,23,7,1,quarterly,83.0,2023-02-01,2026-06-25,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Schmid Speaks,21,21,1,1,monthly,24.0,2024-10-03,2026-06-04,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,RBNZ Gov Orr Speaks,21,21,1,1,monthly,27.0,2023-02-22,2025-03-05,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,RBA Press Conference,20,20,1,1,monthly,42.0,2024-02-06,2026-06-16,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,RBA Rate Statement,20,20,1,1,quarterly,69.0,2023-02-07,2026-06-16,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CHF,SNB Chairman Schlegel Speaks,19,19,1,1,monthly,25.0,2024-10-01,2026-05-28,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,RBA Assist Gov Hunter Speaks,19,19,1,1,quarterly,47.0,2024-03-11,2026-05-19,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Collins Speaks,19,19,1,1,monthly,21.0,2024-08-22,2026-05-13,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,Cleveland Fed Inflation Expectations,19,19,12,1,quarterly,90.0,2023-05-22,2026-05-11,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,BOE Credit Conditions Survey,18,18,1,1,quarterly,90.5,2023-01-18,2026-07-02,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,RBA Deputy Gov Hauser Speaks,18,18,1,1,quarterly,47.0,2024-06-07,2026-06-24,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,NZIER Business Confidence,18,18,13,1,quarterly,84.0,2023-01-15,2026-04-20,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,Annual Budget Release,17,17,1,1,monthly,41.0,2023-03-15,2026-05-28,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,Mortgage Delinquencies,17,17,14,1,quarterly,90.5,2023-02-16,2026-05-14,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Statement,17,17,1,1,quarterly,90.0,2023-01-31,2026-04-29,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CAD,BOC Monetary Policy Report,17,17,1,1,quarterly,91.0,2023-01-24,2026-04-29,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,MPC Member Taylor Speaks,16,16,1,1,monthly,33.0,2025-01-15,2026-06-23,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
JPY,BOJ Outlook Report,16,16,1,1,quarterly,91.5,2023-01-18,2026-04-26,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CAD,Gov Council Member Rogers Speaks,15,15,1,1,quarterly,49.0,2023-03-09,2026-06-24,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,RBNZ Press Conference,15,15,1,1,quarterly,84.0,2023-02-22,2026-05-27,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,RBNZ Monetary Policy Statement,15,15,1,1,quarterly,91.0,2023-02-22,2026-05-27,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CAD,BOC Business Outlook Survey,15,15,1,1,quarterly,91.0,2023-01-15,2026-04-20,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CAD,Corporate Profits q/q,14,14,12,1,quarterly,91.0,2023-02-23,2026-05-25,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,Inflation Expectations q/q,14,14,13,1,quarterly,90.0,2023-02-14,2026-05-13,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,MPC Member Lombardelli Speaks,14,14,1,1,monthly,34.0,2024-11-25,2026-05-07,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,RBA Monetary Policy Statement,14,14,1,1,quarterly,91.0,2023-02-10,2026-05-05,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,RBA Assist Gov Kent Speaks,13,13,1,1,quarterly,105.0,2023-03-19,2026-06-28,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CHF,SNB Monetary Policy Assessment,13,13,1,1,quarterly,90.5,2023-03-23,2026-06-18,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Economic Projections,13,13,1,1,quarterly,91.0,2023-03-22,2026-06-17,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,Consumer Inflation Expectations,13,13,9,1,quarterly,91.0,2023-03-17,2026-06-12,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CAD,BOC Rate Statement,13,13,1,1,quarterly,90.5,2023-03-08,2026-06-10,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,Manufacturing Sales q/q,13,13,13,1,quarterly,91.0,2023-03-09,2026-06-08,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,RBA Bulletin,13,13,1,1,quarterly,91.0,2023-01-25,2026-05-28,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,Monetary Policy Report Hearings,13,13,1,1,quarterly,91.5,2023-02-09,2026-05-20,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,Loan Officer Survey,13,13,1,1,quarterly,91.0,2023-02-06,2026-05-04,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,BOE Inflation Letter,12,12,1,1,quarterly,91.0,2023-03-23,2026-04-30,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,MPC Member Ramsden Speaks,12,12,1,1,quarterly,91.0,2023-02-07,2026-03-02,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CHF,SNB Quarterly Bulletin,11,11,1,1,quarterly,94.5,2023-03-29,2026-06-24,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,Fed Chair Powell Testifies,11,11,1,1,quarterly,53.0,2023-03-07,2025-06-25,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,BOE Quarterly Bulletin,11,11,1,1,monthly,31.0,2023-08-24,2025-01-21,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,Treasury Sec Yellen Speaks,11,11,1,1,monthly,22.0,2023-03-16,2024-10-17,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,RBA Gov Lowe Speaks,11,11,1,1,monthly,22.5,2023-02-15,2023-09-07,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Paulson Speaks,10,10,1,1,monthly,15.5,2025-10-13,2026-05-29,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CHF,Gov Board Member Tschudin Speaks,10,10,1,1,monthly,27.0,2024-11-21,2026-04-21,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,RBNZ Rate Statement,10,10,1,1,quarterly,91.0,2023-04-05,2026-04-08,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CHF,SECO Economic Forecasts,10,10,1,1,quarterly,93.0,2023-03-16,2026-03-18,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Member Mester Speaks,10,10,1,1,weekly,7.0,2024-02-06,2024-05-21,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,RBNZ Gov Breman Speaks,9,9,1,1,monthly,20.0,2025-12-01,2026-05-27,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CHF,Gov Board Member Martin Speaks,8,8,1,1,quarterly,111.0,2024-04-18,2026-06-24,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,RBA Assist Gov Jones Speaks,8,8,1,1,monthly,34.0,2025-09-12,2026-06-17,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,FOMC Financial Stability Report,8,8,1,1,annual,181.0,2023-05-08,2026-05-08,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CAD,Gov Council Member Kozicki Speaks,8,8,1,1,quarterly,147.0,2023-06-27,2026-03-02,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CAD,Gov Council Member Gravelle Speaks,8,8,1,1,quarterly,128.0,2023-03-29,2025-11-06,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,President Biden Speaks,8,8,1,1,quarterly,111.0,2023-01-26,2024-11-26,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,MPC Member Haskel Speaks,8,8,1,1,monthly,12.0,2023-05-19,2024-07-08,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CHF,Gov Board Member Schlegel Speaks,8,8,1,1,quarterly,63.0,2023-01-24,2024-04-09,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,MPC Member Cunliffe Speaks,8,8,1,1,monthly,15.0,2023-02-07,2023-10-26,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
JPY,10-y Bond Auction,7,7,7,1,monthly,29.0,2026-01-06,2026-07-02,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CHF,SNB Press Conference,7,7,1,1,quarterly,136.5,2023-03-23,2026-06-18,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,FPC Meeting Minutes,7,7,1,1,annual,185.0,2023-03-29,2026-04-01,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,RBA Financial Stability Review,7,7,1,1,annual,182.0,2023-04-06,2026-03-19,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,Fed Monetary Policy Report,7,7,1,1,annual,216.0,2023-06-16,2026-02-19,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,RBNZ Gov Hawkesby Speaks,7,7,1,1,monthly,21.0,2025-05-07,2025-11-26,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,MPC Member Tenreyro Speaks,7,7,1,1,weekly,7.5,2023-02-24,2023-06-29,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,CB Leading Index m/m,6,6,4,1,monthly,29.0,2026-01-16,2026-06-19,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,CB Leading Index m/m,6,6,4,1,monthly,29.0,2026-01-16,2026-06-12,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,30-y Bond Auction,6,6,6,1,monthly,29.0,2026-01-13,2026-06-11,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,10-y Bond Auction,6,6,6,1,monthly,29.0,2026-01-12,2026-06-10,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
AUD,Westpac Consumer Sentiment,6,6,6,1,monthly,28.0,2026-01-12,2026-06-09,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
JPY,Bank Holiday,6,6,1,1,monthly,24.0,2026-01-10,2026-05-04,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
USD,Treasury Currency Report,6,6,1,1,annual,202.0,2023-06-16,2026-01-29,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
JPY,30-y Bond Auction,5,5,5,1,monthly,28.0,2026-01-08,2026-06-10,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,RBNZ Financial Stability Report,5,5,1,1,annual,182.5,2023-10-31,2026-05-05,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
GBP,BOE Financial Stability Report,5,5,1,1,annual,188.0,2023-07-12,2025-12-02,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
NZD,RBNZ Statement of Intent,5,5,1,1,weekly,10.0,2024-06-27,2025-07-16,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CHF,Gov Board Member Maechler Speaks,5,5,1,1,monthly,34.0,2023-02-03,2023-06-26,False,False,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
CHF,SNB Financial Stability Report,4,4,1,1,annual,364.0,2023-06-22,2026-07-02,False,True,A,"fara semnal real (valori constante/placeholder — discurs, licitatie, sarbatoare, sau sub prag)"
